# BLASTN 2.12.0+
# Query: ZFX from HM757100
# Database: ./Mico_database/Mico_db
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 538 hits found
ZFX	Mico_rondoni_UFRO-MAM000556	83.262	233	37	2	352	584	30825	30595	6.27e-63	238
ZFX	Mico_rondoni_UFRO-MAM000556	77.936	281	51	5	295	575	3720	3451	2.05e-56	215
ZFX	Mico_rondoni_UFRO-MAM000556	79.508	244	49	1	340	583	146720	146962	2.50e-55	212
ZFX	Mico_rondoni_UFRO-MAM000556	78.039	255	55	1	325	579	102563	102310	3.71e-53	205
ZFX	Mico_rondoni_UFRO-MAM000556	78.632	234	48	2	331	562	52590	52357	8.16e-49	190
ZFX	Mico_rondoni_UFRO-MAM000556	77.686	242	51	3	334	574	44186	44425	1.21e-46	183
ZFX	Mico_rondoni_UFRO-MAM000556	75.630	238	56	2	310	547	68620	68385	3.96e-40	161
ZFX	Mico_rondoni_UFRO-MAM000556	76.190	210	34	3	380	576	21615	21409	5.88e-38	155
ZFX	Mico_rondoni_UFRO-MAM000556	74.888	223	47	6	357	574	682	900	6.71e-31	132
ZFX	Mico_rondoni_UFRO-MAM000556	80.451	133	26	0	448	580	85158	85026	9.95e-29	123
ZFX	Mico_rondoni_UFRO-MAM000556	75.281	178	43	1	337	513	105449	105272	1.21e-27	120
ZFX	Mico_rondoni_UFRO-MAM000556	80.000	120	16	2	460	579	77768	77879	7.65e-24	107
ZFX	Mico_rondoni_UFRO-MAM000556	79.032	124	24	1	460	583	2709	2830	9.32e-23	104
ZFX	Mico_rondoni_UFRO-MAM000556	69.847	262	63	6	328	575	93978	93719	9.32e-23	104
ZFX	Mico_rondoni_UFRO-MAM000556	80.952	105	20	0	475	579	32567	32671	1.14e-21	100
ZFX	Mico_rondoni_UFRO-MAM000556	72.308	195	51	3	390	583	25710	25518	3.96e-21	98.7
ZFX	Mico_rondoni_UFRO-MAM000556	77.344	128	24	3	448	574	66404	66281	5.88e-19	92.4
ZFX	Mico_rondoni_UFRO-MAM000556	72.500	160	44	0	297	456	98930	98771	5.88e-19	91.5
ZFX	Mico_rondoni_UFRO-MAM000556	80.645	62	12	0	529	590	3623	3562	3.48e-09	59.0
ZFX	Mico_rondoni_UFRO-MAM000556	80.645	62	12	0	529	590	30784	30723	3.48e-09	59.0
ZFX	Mico_rondoni_UFRO-MAM000556	80.328	61	12	0	529	589	146774	146834	1.21e-08	57.2
ZFX	Mico_rondoni_UFRO-MAM000556	77.419	62	14	0	372	433	43199	43260	1.80e-06	50.0
ZFX	Mico_rondoni_UFRO-MAM000556	78.689	61	12	1	531	590	105390	105330	6.29e-06	49.1
ZFX	Mico_rondoni_UFRO-MAM000556	74.242	66	17	0	366	431	44352	44417	2.67e-04	43.7
ZFX	Mico_rondoni_UFRO-MAM000556	82.927	41	7	0	550	590	68517	68477	2.67e-04	43.7
ZFX	Mico_rondoni_UFRO-MAM000556	74.242	66	17	0	366	431	146880	146945	2.67e-04	43.7
ZFX	Mico_rondoni_UFRO-MAM000556	92.000	25	2	0	554	578	3745	3769	0.011	37.4
ZFX	Mico_rondoni_UFRO-MAM000556	76.596	47	11	0	398	444	2780	2826	0.040	36.5
ZFX	Mico_rondoni_UFRO-MAM000556	74.510	51	13	0	395	445	102359	102309	0.14	34.6
ZFX	Mico_rondoni_UFRO-MAM000556	81.818	33	6	0	395	427	856	888	0.14	33.7
ZFX	Mico_rondoni_UFRO-MAM000556	74.000	50	13	0	395	444	30649	30600	0.48	32.8
ZFX	Mico_rondoni_UFRO-MAM000556	80.645	31	6	0	415	445	3476	3446	1.7	30.1
ZFX	Mico_rondoni_UFRO-MAM000556	100.000	15	0	0	432	446	48186	48172	5.9	28.3
ZFX	Mico_munduruku_RCA37	77.816	293	49	3	298	589	196260	195983	6.27e-63	237
ZFX	Mico_munduruku_RCA37	77.936	281	51	5	295	575	6580	6311	2.05e-56	215
ZFX	Mico_munduruku_RCA37	80.556	252	40	6	325	573	21072	20827	2.05e-56	215
ZFX	Mico_munduruku_RCA37	76.897	290	52	5	295	583	291733	292008	7.15e-56	214
ZFX	Mico_munduruku_RCA37	78.039	255	55	1	325	579	205567	205314	3.71e-53	205
ZFX	Mico_munduruku_RCA37	76.426	263	57	1	311	573	26916	27173	5.50e-51	197
ZFX	Mico_munduruku_RCA37	78.814	236	48	2	328	562	118412	118178	1.92e-50	196
ZFX	Mico_munduruku_RCA37	77.606	259	55	3	299	557	178193	177938	1.92e-50	196
ZFX	Mico_munduruku_RCA37	78.261	207	44	1	297	502	193522	193316	9.31e-42	168
ZFX	Mico_munduruku_RCA37	82.609	161	25	2	416	575	144006	144164	4.82e-39	159
ZFX	Mico_munduruku_RCA37	76.211	227	48	4	325	549	82814	82592	5.88e-38	154
ZFX	Mico_munduruku_RCA37	74.775	222	56	0	296	517	180261	180482	2.50e-36	149
ZFX	Mico_munduruku_RCA37	83.453	139	23	0	441	579	108464	108602	8.72e-36	148
ZFX	Mico_munduruku_RCA37	85.271	129	19	0	447	575	210266	210394	8.72e-36	148
ZFX	Mico_munduruku_RCA37	78.283	198	31	7	377	569	210253	210063	1.06e-34	143
ZFX	Mico_munduruku_RCA37	85.156	128	18	1	448	575	278207	278333	3.71e-34	142
ZFX	Mico_munduruku_RCA37	75.330	227	49	5	353	575	79925	80148	3.71e-34	141
ZFX	Mico_munduruku_RCA37	84.921	126	17	1	448	573	174996	175119	1.29e-33	140
ZFX	Mico_munduruku_RCA37	72.763	257	33	11	297	547	156861	156636	1.92e-31	132
ZFX	Mico_munduruku_RCA37	75.587	213	39	8	377	583	173942	173737	2.85e-29	126
ZFX	Mico_munduruku_RCA37	83.471	121	17	2	459	579	109124	109241	3.47e-28	123
ZFX	Mico_munduruku_RCA37	76.364	165	35	2	416	579	90733	90894	1.48e-26	117
ZFX	Mico_munduruku_RCA37	72.273	220	58	3	356	573	57214	57432	6.28e-25	112
ZFX	Mico_munduruku_RCA37	71.429	259	58	9	329	578	123561	123812	7.65e-24	108
ZFX	Mico_munduruku_RCA37	78.862	123	24	1	461	583	4567	4687	3.25e-22	103
ZFX	Mico_munduruku_RCA37	78.125	128	24	2	448	574	143325	143201	1.14e-21	100
ZFX	Mico_munduruku_RCA37	73.125	160	43	0	297	456	199387	199228	4.83e-20	96.0
ZFX	Mico_munduruku_RCA37	79.310	116	22	2	458	573	247991	248104	4.83e-20	95.1
ZFX	Mico_munduruku_RCA37	76.712	146	28	5	449	591	294811	294953	1.69e-19	94.2
ZFX	Mico_munduruku_RCA37	87.671	73	9	0	441	513	244782	244854	5.88e-19	92.4
ZFX	Mico_munduruku_RCA37	69.196	224	60	3	295	511	256752	256973	7.17e-18	88.7
ZFX	Mico_munduruku_RCA37	72.297	148	37	1	441	584	129107	129254	3.05e-16	82.4
ZFX	Mico_munduruku_RCA37	76.699	103	21	1	470	572	214141	214240	1.30e-14	77.0
ZFX	Mico_munduruku_RCA37	72.727	143	37	2	453	594	88812	88953	4.52e-14	76.1
ZFX	Mico_munduruku_RCA37	77.083	96	22	0	332	427	157000	156905	4.52e-14	75.2
ZFX	Mico_munduruku_RCA37	73.729	118	23	3	312	428	115584	115474	6.71e-12	68.0
ZFX	Mico_munduruku_RCA37	71.642	134	34	3	448	579	229862	229993	9.96e-10	61.7
ZFX	Mico_munduruku_RCA37	82.759	58	10	0	533	590	57256	57313	9.96e-10	60.8
